event;athlete;athlete_country;og_country;og_city;year;month;day;performance;medal;WR;OR
100 metres;Betty Robinson;USA;holland;amsterdam;1928;7;31;12.2;1;1;1
100 metres;Bobbie Rosenfeld;CAN;holland;amsterdam;1928;7;31;12.3;2;0;0
100 metres;Ethel Smith;CAN;holland;amsterdam;1928;7;31;12.3;3;0;0
800 metres;Lina Radke;GER;holland;amsterdam;1928;8;2;2:16.8;1;1;1
800 metres;Kinue Hitomi;JPN;holland;amsterdam;1928;8;2;2:17.6;2;0;0
800 metres;Inga Gentzel;SWE;holland;amsterdam;1928;8;2;2:17.8;3;0;0
High jump;Ethel Catherwood;CAN;holland;amsterdam;1928;8;5;1.595;1;1;1
High jump;Lien Gisolf;NED;holland;amsterdam;1928;8;5;1.56;2;0;0
High jump;Mildred Wiley;USA;holland;amsterdam;1928;8;5;1.56;3;0;0
Discus throw;Halina Konopacka;POL;holland;amsterdam;1928;7;31;39.62;1;1;1
Discus throw;Lillian Copeland;USA;holland;amsterdam;1928;7;31;37.08;2;0;0
Discus throw;Ruth Svedberg;SWE;holland;amsterdam;1928;7;31;35.92;3;0;0
