event;athlete;athlete_country;og_country;og_city;year;month;day;performance;medal;WR;OR
100 metres;Harrison Dillard;USA;united kingdoms;london;1948;7;31;10.3;1;0;0
100 metres;Barney Ewell;USA;united kingdoms;london;1948;7;31;10.4;2;0;0
100 metres;Lloyd LaBeach;PAN;united kingdoms;london;1948;7;31;10.6;3;0;0
200 metres;Mel Patton;USA;united kingdoms;london;1948;8;3;21.1;1;0;0
200 metres;Barney Ewell;USA;united kingdoms;london;1948;8;3;21.1;2;0;0
200 metres;Lloyd LaBeach;PAN;united kingdoms;london;1948;8;3;21.2;3;0;0
400 metres;Arthur Wint;JAM;united kingdoms;london;1948;8;5;46.2;1;0;0
400 metres;Herb McKenley;JAM;united kingdoms;london;1948;8;5;46.4;2;0;0
400 metres;Mal Whitfield;USA;united kingdoms;london;1948;8;5;46.8;3;0;0
800 metres;Mal Whitfield;USA;united kingdoms;london;1948;7;31;1:49.2;1;0;1
800 metres;Arthur Wint;JAM;united kingdoms;london;1948;7;31;1:49.5;2;0;0
800 metres;Marcel Hansenne;FRA;united kingdoms;london;1948;7;31;1:49.8;3;0;0
1500 metres;Henry Eriksson;SWE;united kingdoms;london;1948;8;6;3:49.8;1;0;0
1500 metres;Lennart Strand;SWE;united kingdoms;london;1948;8;6;3:50.4;2;0;0
1500 metres;Wim Slijkhuis;NED;united kingdoms;london;1948;8;6;3:50.4;3;0;0
5000 metres;Gaston Reiff;BEL;united kingdoms;london;1948;8;2;14:17.6;1;0;1
5000 metres;Emil Zátopek;TCH;united kingdoms;london;1948;8;2;14:17.8;2;0;0
5000 metres;Wim Slijkhuis;NED;united kingdoms;london;1948;8;2;14:26.8;3;0;0
10,000 metres;Emil Zátopek;TCH;united kingdoms;london;1948;7;30;29:59.6;1;0;1
10,000 metres;Alain Mimoun;FRA;united kingdoms;london;1948;7;30;30:47.4;2;0;0
10,000 metres;Bertil Albertsson;SWE;united kingdoms;london;1948;7;30;30:53.6;3;0;0
110 metres hurdles;William Porter;USA;united kingdoms;london;1948;8;4;13.9;1;0;1
110 metres hurdles;Clyde Scott;USA;united kingdoms;london;1948;8;4;14.1;2;0;0
110 metres hurdles;Craig Dixon;USA;united kingdoms;london;1948;8;4;14.1;3;0;0
400 metres hurdles;Roy Cochran;USA;united kingdoms;london;1948;7;31;51.1;1;0;1
400 metres hurdles;Duncan White;CEY;united kingdoms;london;1948;7;31;51.8;2;0;0
400 metres hurdles;Rune Larsson;SWE;united kingdoms;london;1948;7;31;52.2;3;0;0
3000 metres steeplechase;Tore Sjöstrand;SWE;united kingdoms;london;1948;8;5;9:04.6;1;0;0
3000 metres steeplechase;Erik Elmsäter;SWE;united kingdoms;london;1948;8;5;9:08.2;2;0;0
3000 metres steeplechase;Göte Hagström;SWE;united kingdoms;london;1948;8;5;9:11.8;3;0;0
Marathon;Delfo Cabrera;ARG;united kingdoms;london;1948;8;7;2:34:51.6;1;0;0
Marathon;Tom Richards;GBR;united kingdoms;london;1948;8;7;2:35:07.6;2;0;0
Marathon;Etienne Gailly;BEL;united kingdoms;london;1948;8;7;2:35:33.6;3;0;0
10 kilometres walk;John Mikaelsson;SWE;united kingdoms;london;1948;8;7;45:13.2;1;0;0
10 kilometres walk;Ingemar Johansson;SWE;united kingdoms;london;1948;8;7;45:43.8;2;0;0
10 kilometres walk;Fritz Schwab;SUI;united kingdoms;london;1948;8;7;46:00.2;3;0;0
50 kilometres walk;John Ljunggren;SWE;united kingdoms;london;1948;7;31;4:41:52;1;0;0
50 kilometres walk;Gaston Godel;SUI;united kingdoms;london;1948;7;31;4:48:17;2;0;0
50 kilometres walk;Tebbs Lloyd Johnson;GBR;united kingdoms;london;1948;7;31;4:48:31;3;0;0
High jump;John Winter;AUS;united kingdoms;london;1948;7;30;1.98;1;0;0
High jump;Bjørn Paulson;NOR;united kingdoms;london;1948;7;30;1.95;2;0;0
High jump;George Stanich;USA;united kingdoms;london;1948;7;30;1.95;3;0;0
Pole vault;Guinn Smith;USA;united kingdoms;london;1948;8;2;4.30;1;0;0
Pole vault;Erkki Kataja;FIN;united kingdoms;london;1948;8;2;4.20;2;0;0
Pole vault;Robert Richards;USA;united kingdoms;london;1948;8;2;4.20;3;0;0
Long jump;Willie Steele;USA;united kingdoms;london;1948;7;31;7.825;1;0;0
Long jump;Theo Bruce;AUS;united kingdoms;london;1948;7;31;7.55;2;0;0
Long jump;Herbert Douglas;USA;united kingdoms;london;1948;7;31;7.54;3;0;0
Triple jump;Arne Åhman;SWE;united kingdoms;london;1948;8;3;15.40;1;0;0
Triple jump;Gordon George Avery;AUS;united kingdoms;london;1948;8;3;15.36;2;0;0
Triple jump;Ruhi Sarialp;TUR;united kingdoms;london;1948;8;3;15.02;3;0;0
Shot put;Wilbur Thompson;USA;united kingdoms;london;1948;8;3;17.12;1;0;1
Shot put;Jim Delaney;USA;united kingdoms;london;1948;8;3;16.68;2;0;0
Shot put;Jim Fuchs;USA;united kingdoms;london;1948;8;3;16.42;3;0;0
Discus throw;Adolfo Consolini;ITA;united kingdoms;london;1948;8;2;52.78;1;0;1
Discus throw;Giuseppe Tosi;ITA;united kingdoms;london;1948;8;2;51.78;2;0;0
Discus throw;Fortune Gordien;USA;united kingdoms;london;1948;8;2;50.77;3;0;0
Hammer throw;Imre Németh;HUN;united kingdoms;london;1948;7;31;56.07;1;0;0
Hammer throw;Ivan Gubijan;YUG;united kingdoms;london;1948;7;31;54.27;2;0;0
Hammer throw;Robert Bennett;USA;united kingdoms;london;1948;7;31;53.73;3;0;0
Javelin throw;Tapio Rautavaara;FIN;united kingdoms;london;1948;8;4;69.77;1;0;0
Javelin throw;Steve Seymour;USA;united kingdoms;london;1948;8;4;67.56;2;0;0
Javelin throw;József Várszegi;HUN;united kingdoms;london;1948;8;4;67.03;3;0;0
