"event";"athlete";"athlete_country";"og_country";"og_city";"year";"month";"day";"performance";"medal";"WR";"OR"
"100 metres";"Marjorie Jackson";"AUS";"finland";"helsinki";1952;7;22;"11.5";1;0;0
"100 metres";"Daphne Hasenjager";"RSA";"finland";"helsinki";1952;7;22;"11.8";2;0;0
"100 metres";"Shirley Strickland";"AUS";"finland";"helsinki";1952;7;22;"11.9";3;0;0
"200 metres";"Marjorie Jackson";"AUS";"finland";"helsinki";1952;7;26;"23.7";1;0;0
"200 metres";"Bertha Brouwer";"NED";"finland";"helsinki";1952;7;26;"24.2";2;0;0
"200 metres";"Nadezhda KhnykinaDvalishvili";"URS";"finland";"helsinki";1952;7;26;"24.2";3;0;0
"High jump";"Esther Brand";"RSA";"finland";"helsinki";1952;7;27;"1.67";1;0;0
"High jump";"Sheila Lerwill";"GBR";"finland";"helsinki";1952;7;27;"1.65";2;0;0
"High jump";"Aleksandra Chudina";"URS";"finland";"helsinki";1952;7;27;"1.63";3;0;0
"Long jump";"Yvette Williams";"NZL";"finland";"helsinki";1952;7;23;"6.24";1;0;1
"Long jump";"Aleksandra Chudina";"URS";"finland";"helsinki";1952;7;23;"6.14";2;0;0
"Long jump";"Shirley Cawley";"GBR";"finland";"helsinki";1952;7;23;"5.92";3;0;0
"Shot put";"Galina Zybina";"URS";"finland";"helsinki";1952;7;26;"15.28";1;1;1
"Shot put";"Marianne Werner";"GER";"finland";"helsinki";1952;7;26;"14.57";2;0;0
"Shot put";"Klavdiya Tochonova";"URS";"finland";"helsinki";1952;7;26;"14.50";3;0;0
"Discus throw";"Nina Ponomaryova";"URS";"finland";"helsinki";1952;7;20;"51.42";1;0;1
"Discus throw";"Yelizaveta Bagryantseva";"URS";"finland";"helsinki";1952;7;20;"47.08";2;0;0
"Discus throw";"Nina Dumbadze";"URS";"finland";"helsinki";1952;7;20;"46.29";3;0;0
"Javelin throw";"Dana Zátopková";"TCH";"finland";"helsinki";1952;7;24;"50.47";1;0;1
"Javelin throw";"Aleksandra Chudina";"URS";"finland";"helsinki";1952;7;24;"50.01";2;0;0
"Javelin throw";"Yelena Gorchakova";"URS";"finland";"helsinki";1952;7;24;"49.76";3;0;0
